,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Transit Signal,Tier2_SNR,Tier2 Transit S/N,cumulative transit [days],N cumulative transit [days]
26,46,46,HAT-P-60 b,HAT-P-60 b,1.0,2.179299133,4.228534353,1.0,1.0,1.870859317,Eclipse,1,1,2,0,0,0,1.44,-0.01,0.01,6212.0,-26.0,26.0,2.2,-0.02,0.03,233.22,-2.627,2.687,3.91,-0.01,0.01,Gaia DR2 359678187913760384,8.396,8.677,8.368,9.727,9.56355,8.308,0,0.037,-0.037,0.037,[Fe/H],2.765,-0.056,0.042,,28.2825719,52.0539209,18.28184757,0.269015538,-0.269015538,1.631,0.024,-0.024,182.4335054,12.07747945,-12.07747945,0.574,0.038,-0.038,0,1,54.1,4.7947813,127.1606643,-2.4e-06,2.4e-06,1713.885725,9401518662.0,0.062886412,0.3,2.3,18164.20283,0.668,1,83.75,-0.17,0.17,0.0,,,1,,,,8360.94029,0.00056,-0.00056,0,8363.337681,0.0,0.665,4.3e-05,-4.3e-05,1,2021,Ariel,108.0847656920702,5.5654537733162766,5.941370437300795,0.0006552364677767,6.869940969902308,4.808727441773351,10.773044326388886,17.698932204513888
27,69,69,WASP-80 b,WASP-80 b,1.0,2.114062339,4.203009447,1.0,1.6885573,3.271208712,Eclipse,1,2,3,0,0,0,0.58,-0.05,0.05,4143.0,-94.0,92.0,0.59,-0.02,0.02,49.7876,-0.11605,0.11605,4.66,-0.02,0.02,Gaia DR2 4223507222112425344,8.513,9.218,8.351,11.841,11.273,8.296,0,-0.13,-0.17,0.15,[Fe/H],7.0,-7.0,7.0,K7-M0 V,303.1667996,-2.1444369,11.19777175,0.336269422,-0.347478403,0.999,0.03,-0.031,171.6273396,11.44182264,-11.12399423,0.54,0.036,-0.035,0,1,110.0,3.06785234,195.8227816,-7.9e-07,8.3e-07,799.3688362,5155414785.0,0.03448438,0.3,2.3,7760.79195,0.215,1,89.02,-0.1,0.11,0.002,-0.002,0.01,0,94.0,-21.0,120.0,6487.425006,2.3e-05,-2.5e-05,0,6488.958932,7791.821406,2.937,0.013,-0.013,1,2012,Ariel,207.63303550063475,13.955949616702869,15.4957901032243,0.0010379046663085,4.464872433523703,4.762958194039502,11.04251626909722,18.507348032638888
28,67,67,WASP-101 b,WASP-101 b,1.0,2.233449232,4.374926821,1.0,1.520345163,3.000246681,Eclipse,1,2,3,0,0,0,1.41,-0.3,0.3,6380.0,-120.0,120.0,1.31,-0.08,0.08,201.224,-1.139,1.152,4.31,-0.08,0.08,Gaia DR2 2924661867160818304,9.124,9.334,9.075,10.336,10.138,9.041,0,0.2,,,[Fe/H],1.14,-0.65,0.7,F6,98.3511016,-23.486086,16.02884245,1.008808266,-1.008808266,1.43,0.09,-0.09,157.9607181,15.57359192,-15.25576352,0.497,0.049,-0.048,0,1,54.3,3.58572,190.0633793,-4e-06,4e-06,1501.700897,7691692845.0,0.05144945,0.3,2.3,9754.435574,0.736,1,85.0,-0.2,0.2,0.0,,,0,,,,6297.36537,0.00019,-0.00019,0,6299.15823,0.0,1.3,0.02,-0.02,1,2014,Ariel,132.05581622178622,6.268749609859834,6.847726293554328,0.0012603876600404,5.32084570564316,4.757737352217362,11.381211948749998,19.52343507159722
29,43,43,WASP-54 b,WASP-54 b,1.0,2.378550284,4.645354846,1.0,1.0,1.722928153,Eclipse,1,1,2,0,0,0,1.08,-0.38,0.38,6100.0,-100.0,100.0,1.76,-0.19,0.19,251.303,-4.327,4.478,4.0,-0.03,0.03,Gaia DR2 3661983850663908608,9.135,9.365,9.035,10.413,10.2441,9.007,0,-0.27,,,[Fe/H],6.9,-1.9,1.0,F9,205.4542456,-0.1281712,17.71018955,1.905526724,-1.905526724,1.58,0.17,-0.17,192.6040144,5.720911319,-5.720911319,0.606,0.018,-0.018,0,1,70.0,3.69364,115.5833253,-6e-06,6e-06,1722.740162,7178090697.0,0.048013985,0.3,2.3,16987.88861,0.49,1,84.97,-0.61,0.61,0.07,-0.03,0.03,0,62.0,-33.0,21.0,5518.35087,0.00049,-0.00056,0,5520.19769,19226.14519,0.86,0.02,-0.02,1,2012,Ariel,120.0475347378407,6.261163715818899,6.664207694592267,0.0008861447103917,7.417041230610854,4.615587191395758,11.971069192152775,21.293006801805554
30,256,256,HD 332231 b,HD 332231 b,1.0,2.500059725,4.750937361,3.354651124,14.97444921,28.95318246,Transit,1,3,5,0,0,0,1.13,-0.08,0.08,6089.0,-96.0,97.0,1.28,-0.04,0.04,80.6665,-0.1908,0.1917,4.28,-0.03,0.03,Gaia DR2 2056007995732413312,7.3,7.509,7.242,8.558,8.41839,7.114,0,0.036,-0.058,0.059,[Fe/H],4.3,-1.9,2.5,F8,306.741134,33.7443882,9.718186294,0.30264248,-0.280224518,0.867,0.027,-0.025,77.55013121,6.674396538,-6.674396538,0.244,0.021,-0.021,0,1,17.3,18.71204,918.4036981,-0.00043,0.00043,847.4614068,21495038093.0,0.143779519,0.3,2.3,22626.36518,0.133,1,89.68,-0.28,0.22,0.032,-0.022,0.03,0,47.0,-74.0,69.0,8729.67987,0.00038,-0.00038,0,8739.03589,23710.80882,0.4867,0.0058,-0.0055,2,2020,Ariel,40.08342337029107,8.372366685321582,2.788219449226785,0.0003382042231173,1.531173734906634,4.600877084023916,12.756706872013886,23.649919841388886
31,13,13,WASP-33 b,WASP-33 b,1.0,2.223157227,4.373788659,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.5,-0.03,0.03,7430.0,-100.0,100.0,1.44,-0.03,0.03,121.944,-0.983,0.998,4.25,-0.07,0.1,Gaia DR2 328636019723252096,7.516,7.581,7.468,8.14,8.07004,7.383,0,0.1,,,[M/H],,,,A5,36.7127375,37.5504441,17.8559063,0.829464574,-0.829464574,1.593,0.074,-0.074,665.214855,44.17814852,-44.17814852,2.093,0.139,-0.139,0,1,304.0,1.21987,30.61354865,-1e-06,1e-06,2599.597377,3826520992.0,0.025595458,0.3,2.3,9739.03043,0.21,1,86.63,-0.03,0.03,0.0,,,0,,,,4163.22367,0.00022,-0.00022,0,4163.833605,0.0,1.1,0.019,-0.019,1,2010,Ariel,548.1600364601858,21.273271669423547,29.99360948315676,0.0005927489246319,31.679892507428733,4.457433977663005,13.094867650833331,24.66440217784722
32,102,102,HD 1397 b,HD 1397 b,1.197798041,3.673705225,6.313990595,1.238506654,3.070348446,5.145219729,Eclipse,1,3,5,0,0,0,1.32,-0.05,0.04,5521.0,-60.0,60.0,2.34,-0.06,0.05,79.5702,-0.1731,0.1738,3.82,-0.02,0.02,Gaia DR2 4707634458245031552,6.09,6.442,5.988,7.79,7.59336,6.018,0,0.29,-0.09,0.09,[Fe/H],4.51,-0.5,0.5,G5 III/IV,4.4471631,-66.3589285,11.50041423,0.280224518,-0.30264248,1.026,0.025,-0.027,116.6430252,6.992224945,-7.310053352,0.367,0.022,-0.023,0,1,28.3,11.53533,305.5918647,-0.0008,0.00079,1189.531015,16397437052.0,0.109681853,0.3,2.3,32523.51822,0.17,1,88.99,-0.73,0.67,0.251,-0.019,0.02,0,2.1,-7.0,6.1,8332.08261,0.0006,-0.0006,0,8337.850275,33127.3467,0.2037,0.0027,-0.0023,2,2018,Ariel,68.83878096199581,8.992241297671983,3.871136350255956,0.0001565062346879,4.192903915101686,4.440660796050819,14.224156477916665,28.05226865909722
33,10,10,WASP-121 b,WASP-121 b,1.0,2.809530879,5.50232336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.36,-0.08,0.07,6776.0,-128.73,138.39,1.46,-0.03,0.03,269.898,-1.562,1.58,4.24,-0.01,0.01,Gaia DR2 5565050255701441664,9.439,9.625,9.374,10.514,10.3746,9.356,0,0.13,-0.09,0.09,[Fe/H],1.5,-1.0,1.0,F6 V,107.6002312,-39.0972705,19.64934322,0.403523306,-0.403523306,1.753,0.036,-0.036,367.7274664,22.24798846,-22.24798846,1.157,0.07,-0.07,0,1,177.0,1.27492504,25.72819342,-1.4e-07,1.5e-07,2391.043885,3814175890.0,0.025512882,0.3,2.3,10604.8743,0.1,1,88.49,-0.16,0.16,0.0,,,0,10.0,-10.0,10.0,8119.72074,0.00017,-0.00017,0,8120.358203,0.0,1.551,0.012,-0.012,1,2016,Ariel,265.4744800042335,9.711048794427414,15.452984030909567,0.0012785149032994,15.941633602365606,4.34214996460395,14.592381279999998,29.156943065347217
34,24,24,KELT-4 A b,KELT-4 A b,1.0,2.71432317,5.307241214,1.0,1.0,1.015967247,Eclipse,1,1,1,0,0,0,1.2,-0.06,0.07,6206.0,-75.0,75.0,1.6,-0.04,0.04,218.05,-2.067,2.106,4.11,-0.01,0.01,Gaia DR2 727624020367528576,8.79,9.017,8.689,9.98,9.95702,8.604,0,-0.116,-0.069,0.065,[Fe/H],4.44,-0.89,0.78,F,157.06262,25.5731366,19.04405826,0.515613114,-0.504404133,1.699,0.046,-0.045,286.6812227,19.0697044,-18.75187599,0.902,0.06,-0.059,0,1,111.8,2.9895932,60.54870009,-4.9e-06,4.9e-06,1761.948781,6457034792.0,0.043190868,0.3,2.3,12360.62887,0.689,1,83.16,-0.21,0.22,0.0,,,0,,,,6190.30201,0.00022,-0.00022,0,6191.796807,0.0,1.187,0.012,-0.012,1,2016,Ariel,200.06742356534895,8.059653839330993,9.990636537186251,0.0009160907189073,9.677650408182751,4.311447815320214,15.021569782430554,30.444508572638885
35,64,64,WASP-62 b,WASP-62 b,1.0,2.73454439,5.347051552,1.0,1.383246601,2.748543331,Eclipse,1,1,3,0,0,0,1.11,-0.25,0.25,6230.0,-80.0,80.0,1.23,-0.08,0.08,175.631,-0.586,0.59,4.45,-0.1,0.1,Gaia DR2 4756649415309914240,9.008,9.272,8.944,10.213,10.0721,8.896,0,0.04,,,[Fe/H],2.6,-0.7,0.5,,87.1398205,-63.9883286,14.79585456,0.896718458,-0.896718458,1.32,0.08,-0.08,180.5265349,13.66662148,-13.34879308,0.568,0.043,-0.042,0,1,60.8,4.41195,180.1066454,-3e-06,3e-06,1379.957366,8155038720.0,0.054548754,0.3,2.3,13797.76799,0.25,1,88.3,-0.75,0.75,0.0,,,0,,,,8427.55327,4e-05,-4e-05,0,8429.759245,0.0,1.2,0.02,-0.02,1,2012,Ariel,120.4373471496634,8.408084794177078,6.321837028826976,0.0009041499734095,5.370785142450616,4.301437820674348,15.500658948749997,31.88177607159722
36,25,25,KELT-8 b,KELT-8 b,1.0,2.77988474,5.437006312,1.0,1.0,1.023996312,Eclipse,1,1,1,0,0,0,0.81,-0.21,0.21,5754.0,-54.0,54.0,1.46,-0.08,0.08,197.572,-0.995,1.005,4.08,-0.05,0.05,Gaia DR2 4534144923690481408,9.269,9.586,9.177,10.845,10.6699,8.981,0,0.27,,,[Fe/H],5.4,-0.5,0.4,G2 V,283.3054489,24.1272483,18.15854878,1.120898073,-1.120898073,1.62,0.1,-0.1,272.6967729,16.84490555,-16.20924874,0.858,0.053,-0.051,0,1,104.2,3.24406,63.79276009,-0.00016,0.00016,1621.405269,5981162083.0,0.040007773,0.3,2.3,12640.16236,0.741,1,82.65,-0.9,0.9,0.04,-0.05,0.05,0,85.0,-97.0,87.0,7396.04496,0.00055,-0.00055,0,7397.66699,13689.33457,1.3,0.06,-0.06,1,2015,Ariel,166.81907401107503,8.432451816707005,10.24523664759136,0.0009226886833356,9.25288692810647,4.213072531276527,15.939553475138887,33.19845965076389
37,471,471,AU Mic c,AU Mic c,2.065110638,5.340781436,8.855560108,612.3282203,1018.458026,2166.012056,Transit,2,5,9,0,0,0,0.5,-0.03,0.03,3700.0,-100.0,100.0,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.57,-0.01,0.01,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,3.239395431,0.15692573,-0.15692573,0.289,0.014,-0.014,13.59987752,11.40050494,-11.40050494,0.04279,0.03587,-0.03587,0,0,5.2,18.859019,2204.030308,-1.6e-05,1.6e-05,479.5930307,16465214012.0,0.110135211,0.1,2.3,14886.85643,0.51,1,89.0,-0.4,0.5,0.0,,,0,,,,8342.2223,0.0005,-0.0005,0,8351.65181,0.0,,,,2,2021,Ariel,15.321091525364722,13.214271041738504,2.6602989120158416,0.0001105673831183,0.2340379856468233,4.210499399945498,16.456458212291665,34.74917386222222
38,75,75,HAT-P-33 b,HAT-P-33 b,1.0,3.199927081,6.271274053,1.0,1.767364724,3.500823441,Eclipse,1,2,4,0,0,0,1.82,-1.45,1.45,6446.0,-88.0,88.0,1.79,-0.48,0.48,396.11,-7.368,7.647,4.15,-0.01,0.01,Gaia DR2 893550942158776832,10.061,10.263,10.004,11.032,11.0238,9.998,0,0.05,,,[Fe/H],2.3,-0.3,0.3,F4,113.1842383,33.8350214,20.73661435,5.492400558,-5.492400558,1.85,0.49,-0.49,209.7667484,44.49597692,-44.49597692,0.66,0.14,-0.14,0,1,73.0,3.47447,211.1387025,-1e-06,1e-06,1717.636078,8200635079.0,0.054853746,0.3,2.3,15404.19447,0.325,1,87.2,-0.05,0.05,0.0,,,0,15.0,-22.0,22.0,6601.47713,0.00012,-0.00012,0,6603.214365,0.0,1.1,0.023,-0.023,1,2011,Ariel,95.06771327878045,4.973900443392903,5.332789387604828,0.0012589483449379,5.772850233058759,4.172395919753034,16.99132607583333,36.35377745284722
39,41,41,WASP-79 b,WASP-79 b,1.0,2.983693858,5.832246842,1.0,1.0,1.574161185,Eclipse,1,1,2,0,0,0,1.43,-0.43,0.43,6600.0,-100.0,100.0,1.6,-0.14,0.14,246.69,-1.794,1.82,4.2,-0.15,0.15,Gaia DR2 4884779765893739904,9.123,9.299,9.056,10.044,9.97202,9.03,0,0.03,,,[Fe/H],1.4,-0.3,0.3,,66.3709016,-30.6004362,18.71899782,1.68134711,-1.68134711,1.67,0.15,-0.15,267.9293468,27.01541456,-25.42627253,0.843,0.085,-0.08,0,1,88.1,3.66238,109.1862953,-5e-06,5e-06,1700.784189,7837645112.0,0.05242572,0.3,2.3,14173.70867,0.5,1,85.4,-0.6,0.6,0.0,,,0,,,,8200.47327,0.00018,-0.00018,0,8202.30446,0.0,1.1,0.051,-0.051,1,2012,Ariel,143.71970526267438,7.796348461222786,7.478064782790677,0.000898550837172,7.787557431533279,4.161127803549963,17.483468737986108,37.83020543930555
40,238,238,HAT-P-12 b,HAT-P-12 b,1.0,3.141515849,6.179828289,1.689326287,12.44621536,25.46466086,Transit,1,3,6,0,0,0,0.73,-0.02,0.02,4650.0,-60.0,60.0,0.7,-0.01,0.02,142.751,-0.45,0.453,4.61,-0.01,0.01,Gaia DR2 1499514786891168640,10.236,10.794,10.108,12.665,12.4197,10.077,0,-0.29,-0.05,0.05,[Fe/H],2.5,-2.0,2.0,K4,209.3886452,43.49331,10.74941252,0.325060441,-0.235388595,0.959,0.029,-0.021,67.06179379,3.813940879,-3.813940879,0.211,0.012,-0.012,0,1,0.0,3.2130598,818.40921,-2.1e-06,2.1e-06,926.1137178,5740523144.0,0.038398148,0.3,2.3,8413.686696,0.211,1,89.0,-0.4,0.4,0.0,,,0,354.3,-2.1,2.1,4419.19556,0.0002,-0.0002,0,4420.80209,0.0,1.977,0.037,-0.036,1,2009,Ariel,74.03694146974163,5.917548832635538,4.855970302846425,0.0019339853195597,1.8679872229700605,4.147209187128757,17.775610637152774,38.70663113680555
41,81,81,HAT-P-1 b,HAT-P-1 b,1.0,2.896002899,5.670496568,1.0,1.877919218,3.729626044,Eclipse,1,2,4,0,0,0,1.15,-0.05,0.05,5980.0,-49.0,49.0,1.17,-0.03,0.03,158.979,-0.965,0.977,4.36,-0.01,0.01,Gaia DR2 1928431764627661440,8.923,9.156,8.858,9.827,10.1786,8.732,0,0.13,-0.008,0.008,[Fe/H],3.6,0.0,0.0,G0 V,344.4453632,38.674919,14.78464558,0.212970634,-0.212970634,1.319,0.019,-0.019,166.8599135,8.263538571,-8.263538571,0.525,0.026,-0.026,0,1,59.5,4.46529976,230.9353976,-5.5e-07,5.5e-07,1279.135913,8318231558.0,0.055640345,0.3,2.3,9933.862987,0.7501,1,85.634,-0.056,0.056,0.0,,,0,253.1,-2.0,2.0,3979.93202,0.00024,-0.00024,0,3982.16467,0.0,,,,1,2006,Ariel,126.54768128709924,7.783345729187767,6.719191906561088,0.0009998425658757,4.435730794661608,4.131961884474324,18.120536435312495,39.74140853128471
42,118,118,WASP-63 b,WASP-63 b,1.0,2.94354383,5.753365808,1.0,3.100821745,6.087778087,Transit,1,3,6,0,0,0,1.28,-0.42,0.42,5550.0,-100.0,100.0,1.86,-0.19,0.19,290.684,-2.008,2.034,4.01,-0.03,0.03,Gaia DR2 5574766468155514752,9.463,9.818,9.393,11.155,10.9185,9.343,0,0.08,,,[Fe/H],8.3,-1.2,1.3,,94.3363562,-38.3233826,15.80466283,1.569257302,-1.569257302,1.41,0.14,-0.14,107.7438298,9.534852198,-9.534852198,0.339,0.03,-0.03,0,1,39.6,4.37808,363.7250057,-6e-06,6e-06,1480.047498,8507927200.0,0.056909212,0.3,2.3,19266.06255,0.252465487,1,87.8,-1.3,1.3,0.0,,,0,,,,5921.65359,0.0005,-0.0005,0,5923.84263,0.0,0.61,0.017,-0.017,1,2012,Ariel,63.17766418225426,4.398028936327695,3.6427407890750345,0.0008660021578436,3.7577806504598463,4.129026183196378,18.789496940520827,41.74829004690971
43,321,321,HAT-P-18 b,HAT-P-18 b,1.0,3.325815581,6.529958671,4.178637406,33.23437378,67.68413391,Transit,1,3,7,0,0,0,0.77,-0.03,0.03,4803.0,-80.0,80.0,0.75,-0.04,0.04,161.4,-0.605,0.61,4.57,-0.04,0.04,Gaia DR2 1334573817793362560,10.34,10.822,10.234,12.597,12.3682,10.195,0,0.1,-0.08,0.08,[Fe/H],12.4,-6.4,4.4,K2,256.346376,33.0123251,11.15293583,0.582866998,-0.582866998,0.995,0.052,-0.052,63.56568132,6.038739725,-6.038739725,0.2,0.019,-0.019,0,1,27.5,5.508023,1167.039818,-6e-06,6e-06,820.0089758,8369998592.0,0.055986613,0.3,2.3,10289.08194,0.324,1,88.8,-0.3,0.3,0.084,-0.048,0.048,0,120.0,-56.0,56.0,4715.02174,0.0002,-0.0002,0,4717.775752,11903.50698,2.179,0.048,-0.048,1,2010,Ariel,47.50856033308271,5.210512519200911,3.5002422923875343,0.0017577086736411,1.216667516654608,4.038547660066782,19.146756730104162,43.17732920524304
44,84,84,WASP-52 b,WASP-52 b,1.0,3.383625399,6.642235087,1.0,2.078443667,4.046550963,Eclipse,1,2,4,0,0,0,0.87,-0.03,0.03,5000.0,-100.0,100.0,0.79,-0.02,0.02,174.818,-1.323,1.343,4.58,-0.01,0.01,Gaia DR2 2666015878575546496,10.186,10.588,10.086,12.192,11.9537,10.011,0,0.03,-0.12,0.12,[Fe/H],0.4,-0.2,0.3,K2 V,348.4947931,8.7610793,14.23540553,0.336269422,-0.336269422,1.27,0.03,-0.03,146.201067,6.356568132,-6.356568132,0.46,0.02,-0.02,0,1,0.0,1.7497798,237.6416728,-1.2e-06,1.2e-06,1258.128399,4058759608.0,0.027148894,0.3,2.3,6525.944438,0.6,1,85.35,-0.2,0.2,0.0,,,0,,,,5793.68143,9e-05,-9e-05,0,5794.55632,0.0,2.71,0.04,-0.04,1,2012,Ariel,175.32740191932942,7.356089410806824,9.625763068946156,0.0021975344085324,4.852985281029168,4.018514643011141,19.373352023090273,44.08371037718749
45,243,243,WASP-117 b,WASP-117 b,1.0,3.235408425,6.312939221,1.708727558,13.57993035,26.76014668,Transit,1,3,6,0,0,0,1.29,-0.3,0.3,6040.0,-90.0,90.0,1.22,-0.06,0.06,157.963,-0.632,0.636,4.28,-0.16,0.16,Gaia DR2 4746157737910069888,8.86,9.143,8.78,10.139,10.0269,8.749,0,-0.11,,,[Fe/H],4.6,-2.0,2.0,F9,36.7758112,-50.2844247,11.88151957,0.784628651,-0.784628651,1.06,0.07,-0.07,87.75242306,3.146501225,-3.051152703,0.2761,0.0099,-0.0096,0,1,25.21,10.02165,846.0960145,-0.00055,0.00055,988.5407627,14815649803.0,0.099101336,0.3,2.3,16444.1995,0.32,1,89.14,-0.3,0.3,0.3,-0.02,0.02,0,242.0,-2.7,2.3,7355.51373,0.00055,-0.00055,0,7360.524555,9556.913469,0.8,0.052,-0.052,1,2014,Ariel,46.30899118814851,6.33798614742133,2.79517102856225,0.0007013546486682,1.6959436535030978,3.9386209829155256,19.944331172395827,46.36762697440971
46,21,21,KELT-7 b,KELT-7 b,1.0,3.302742034,6.449688055,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.76,-0.25,0.25,6768.0,-7.0,7.0,1.81,-0.07,0.07,136.681,-0.924,0.938,4.5,,,Gaia DR2 181908842994567936,7.58,7.739,7.543,8.56,8.45173,7.496,0,0.0,,,[Fe/H],1.3,-0.2,0.2,F,78.2955912,33.3179532,17.93436917,0.672538844,-0.672538844,1.6,0.06,-0.06,441.7814852,69.92224945,-69.92224945,1.39,0.22,-0.22,0,1,138.0,2.73477,53.16610589,-4e-06,4e-06,1975.133011,6913257612.0,0.046242526,0.3,2.3,12560.84499,0.597,1,83.76,-0.38,0.38,0.0,,,0,,,,8343.40408,0.0001,-0.0001,0,8344.771465,0.0,0.83,0.012,-0.012,1,2015,Ariel,253.52043247227445,14.004623716762527,14.004237102376598,0.0004349065168034,15.047718827369202,3.9323256158737143,20.380471623437494,48.112188778576375
47,65,65,KELT-10 b,KELT-10 b,1.0,3.607346633,7.062465322,1.0,1.439567525,2.863612629,Eclipse,1,1,3,0,0,0,1.11,-0.06,0.06,5948.0,-74.0,74.0,1.21,-0.04,0.05,188.404,-2.132,2.182,4.32,-0.03,0.02,Gaia DR2 6710517793025165696,9.388,9.693,9.338,10.617,10.7009,9.305,0,0.09,-0.1,0.11,[Fe/H],4.5,-0.7,0.7,G0 V,284.5483823,-47.0033072,15.68136404,0.77341967,-0.549240056,1.399,0.069,-0.049,215.8054881,12.39530786,-12.07747945,0.679,0.039,-0.038,0,1,80.0,4.1662739,184.2729193,-6.3e-06,6.3e-06,1331.934801,7849419106.0,0.052504476,0.3,2.3,13480.47478,0.23,1,88.61,-0.74,0.86,0.0,,,0,,,,7066.72045,0.00027,-0.00027,0,7068.803587,0.0,1.416,0.034,-0.029,1,2016,Ariel,115.55460990040942,8.9481025939136,6.622721491158837,0.0008980637460052,5.307077614150121,3.759928454889872,20.848543664409714,49.984476942465264
48,22,22,KELT-23 A b,KELT-23 A b,1.0,3.489495583,6.833156343,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.94,-0.05,0.06,5899.0,-49.0,49.0,1.0,-0.01,0.01,126.261,-0.351,0.352,4.42,-0.03,0.03,Gaia DR2 1644692064543192704,8.951,9.208,8.904,10.308,10.182,8.754,0,-0.105,-0.077,0.078,[Fe/H],6.4,-3.2,3.5,G2 V,232.1466406,66.3587097,14.82948151,0.280224518,-0.280224518,1.323,0.025,-0.025,298.1230454,15.25576352,-13.98444989,0.938,0.048,-0.044,0,1,150.6,2.255251,55.42135689,-1.2e-05,1.1e-05,1514.89041,4932538916.0,0.032993571,0.3,2.3,8589.016708,0.576,1,85.37,-0.3,0.31,0.0,,,0,,,,8140.3792,0.0027,-0.0029,0,8141.506825,0.0,1.864,0.028,-0.028,1,2019,Ariel,233.35053737510108,13.822282331204375,13.438247300510842,0.0009155234660863,9.623708844938488,3.753079671869922,21.14677341121527,51.177395929687485
49,487,487,K2-24 c,K2-24 c,1.0,3.186567273,6.212728964,242.5191169,1699.763119,3367.586613,Transit,1,3,6,0,0,0,1.07,-0.06,0.06,5625.0,-60.0,60.0,1.16,-0.04,0.04,170.562,-1.338,1.36,4.29,-0.05,0.05,Gaia DR2 6049750234317822208,9.294,9.635,9.18,11.275,10.9072,9.122,0,0.34,-0.04,0.04,[Fe/H],5.1,-1.9,1.9,G9 V,242.5734559,-24.9906029,7.498808109,0.30264248,-0.30264248,0.669,0.027,-0.027,15.3987863,1.900613871,-1.798908781,0.04845,0.00598,-0.00566,0,1,0.0,42.3391,2461.001163,-0.0012,0.0012,610.0267679,36379242660.0,0.243339416,0.1,2.3,24882.74247,0.44,1,89.76,-0.21,0.18,0.0,,,1,,,,6915.4485,0.0078,-0.0079,0,6936.61805,0.0,0.4372,0.0026,-0.0026,1,2016,Ariel,5.422108196573657,2.792146204350023,0.5850796387755567,0.0006440846338417,0.1290337378029599,3.7420746577186352,22.010757524756936,54.63333238385415
50,3,3,HD 202772 A b,HD 202772 A b,1.0,3.928940044,7.517633582,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.72,-0.07,0.06,6272.0,-71.0,77.0,2.59,-0.09,0.08,161.498,-2.388,2.459,3.85,-0.03,0.03,Gaia DR2 6790773586275235200,7.048,7.232,6.959,8.324,8.22688,6.882,0,0.3,-0.06,0.06,[Fe/H],1.7,-0.26,0.32,,319.6995877,-26.6163743,17.31787523,0.582866998,-0.672538844,1.545,0.052,-0.06,323.2314895,22.24798846,-21.61233165,1.017,0.07,-0.068,0,1,96.4,3.308958,10.42186639,-8.3e-05,8.3e-05,2062.654694,7789955294.0,0.052106724,0.3,2.3,20841.44518,0.403,1,84.51,-0.82,1.1,0.038,-0.027,0.042,0,98.0,-52.0,65.0,8338.61047,0.00024,-0.00024,0,8340.264949,22471.31233,0.3755,0.01,-0.0099,2,2019,Ariel,175.99058042329696,10.989061272897963,9.24353027917098,0.0002729625517382,12.451409813379833,3.670412082390138,22.734418815729157,57.52797754774304
